"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"범죄발생총건수(A) (건)","소계","2020",광주,49869
"범죄발생총건수(A) (건)","소계","2020",대전,46960
"범죄발생총건수(A) (건)","소계","2020",울산,24911
"범죄발생총건수(A) (건)","소계","2020",세종,6651
"범죄발생총건수(A) (건)","소계","2020",경기,429487
"범죄발생총건수(A) (건)","소계","2020",강원,51544
"범죄발생총건수(A) (건)","소계","2020",충북,51645
"범죄발생총건수(A) (건)","소계","2020",충남,71847
"범죄발생총건수(A) (건)","소계","2020",전북,56210
"범죄발생총건수(A) (건)","소계","2020",전남,67448
"범죄발생총건수(A) (건)","소계","2020",경북,83790
"범죄발생총건수(A) (건)","소계","2020",경남,123406
"범죄발생총건수(A) (건)","소계","2020",제주,29296
"범죄발생총건수(A) (건)","소계","2021",계,1531705
"범죄발생총건수(A) (건)","소계","2021",서울,274830
"범죄발생총건수(A) (건)","소계","2021",부산,113558
"범죄발생총건수(A) (건)","소계","2021",대구,72339
"범죄발생총건수(A) (건)","소계","2021",인천,85432
"범죄발생총건수(A) (건)","소계","2021",광주,44610
"범죄발생총건수(A) (건)","소계","2021",대전,41921
"범죄발생총건수(A) (건)","소계","2021",울산,23463
"범죄발생총건수(A) (건)","소계","2021",세종,6147
"범죄발생총건수(A) (건)","소계","2021",경기,388004
"범죄발생총건수(A) (건)","소계","2021",강원,45398
"범죄발생총건수(A) (건)","소계","2021",충북,47020
"범죄발생총건수(A) (건)","소계","2021",충남,63290
"범죄발생총건수(A) (건)","소계","2021",전북,52587
"범죄발생총건수(A) (건)","소계","2021",전남,60205
"범죄발생총건수(A) (건)","소계","2021",경북,75300
"범죄발생총건수(A) (건)","소계","2021",경남,111102
"범죄발생총건수(A) (건)","소계","2021",제주,26499
"범죄발생총건수(A) (건)","소계","2022",계,1575007
"범죄발생총건수(A) (건)","소계","2022",서울,295503
"범죄발생총건수(A) (건)","소계","2022",부산,118130
"범죄발생총건수(A) (건)","소계","2022",대구,71386
"범죄발생총건수(A) (건)","소계","2022",인천,91182
"범죄발생총건수(A) (건)","소계","2022",광주,42963
"범죄발생총건수(A) (건)","소계","2022",대전,45650
"범죄발생총건수(A) (건)","소계","2022",울산,17776
"범죄발생총건수(A) (건)","소계","2022",세종,6907
"범죄발생총건수(A) (건)","소계","2022",경기,391119
"범죄발생총건수(A) (건)","소계","2022",강원,46038
"범죄발생총건수(A) (건)","소계","2022",충북,47324
"범죄발생총건수(A) (건)","소계","2022",충남,67829
"범죄발생총건수(A) (건)","소계","2022",전북,53737
"범죄발생총건수(A) (건)","소계","2022",전남,61545
"범죄발생총건수(A) (건)","소계","2022",경북,78953
"범죄발생총건수(A) (건)","소계","2022",경남,111487
"범죄발생총건수(A) (건)","소계","2022",제주,27478
"인구(B) (명)","소계","2014",계,51327916
"인구(B) (명)","소계","2014",서울,10103233
"인구(B) (명)","소계","2014",부산,3519401
"인구(B) (명)","소계","2014",대구,2493264
"인구(B) (명)","소계","2014",인천,2902608
"인구(B) (명)","소계","2014",광주,1475884
"인구(B) (명)","소계","2014",대전,1531809
"인구(B) (명)","소계","2014",울산,1166377
"인구(B) (명)","소계","2014",세종,156125
"인구(B) (명)","소계","2014",경기,12357830
"인구(B) (명)","소계","2014",강원,1544442
"인구(B) (명)","소계","2014",충북,1578933
"인구(B) (명)","소계","2014",충남,2062273
"인구(B) (명)","소계","2014",전북,1871560
"인구(B) (명)","소계","2014",전남,1905780
"인구(B) (명)","소계","2014",경북,2700794
"인구(B) (명)","소계","2014",경남,3350257
"인구(B) (명)","소계","2014",제주,607346
"인구(B) (명)","소계","2015",계,51529338
"인구(B) (명)","소계","2015",서울,10022181
"인구(B) (명)","소계","2015",부산,3513777
"인구(B) (명)","소계","2015",대구,2487829
"인구(B) (명)","소계","2015",인천,2925815
"인구(B) (명)","소계","2015",광주,1472199
"인구(B) (명)","소계","2015",대전,1518775
"인구(B) (명)","소계","2015",울산,1173534
"인구(B) (명)","소계","2015",세종,210884
"인구(B) (명)","소계","2015",경기,12522606
"인구(B) (명)","소계","2015",강원,1549507
"인구(B) (명)","소계","2015",충북,1583952
"인구(B) (명)","소계","2015",충남,2077649
"인구(B) (명)","소계","2015",전북,1869711
"인구(B) (명)","소계","2015",전남,1908996
"인구(B) (명)","소계","2015",경북,2702826
"인구(B) (명)","소계","2015",경남,3364702
"인구(B) (명)","소계","2015",제주,624395
"인구(B) (명)","소계","2016",계,51696216
"인구(B) (명)","소계","2016",서울,9930616
"인구(B) (명)","소계","2016",부산,3498529
"인구(B) (명)","소계","2016",대구,2484557
"인구(B) (명)","소계","2016",인천,2943069
"인구(B) (명)","소계","2016",광주,1469214
"인구(B) (명)","소계","2016",대전,1514370
"인구(B) (명)","소계","2016",울산,1172304
"인구(B) (명)","소계","2016",세종,243048
"인구(B) (명)","소계","2016",경기,12716780
"인구(B) (명)","소계","2016",강원,1550806
"인구(B) (명)","소계","2016",충북,1591625
"인구(B) (명)","소계","2016",충남,2096727
"인구(B) (명)","소계","2016",전북,1864791
"인구(B) (명)","소계","2016",전남,1903914
"인구(B) (명)","소계","2016",경북,2700398
"인구(B) (명)","소계","2016",경남,3373871
"인구(B) (명)","소계","2016",제주,641597
"인구(B) (명)","소계","2017",계,51778544
"인구(B) (명)","소계","2017",서울,9857426
"인구(B) (명)","소계","2017",부산,3470653
"인구(B) (명)","소계","2017",대구,2475231
"인구(B) (명)","소계","2017",인천,2948542
"인구(B) (명)","소계","2017",광주,1463770
"인구(B) (명)","소계","2017",대전,1502227
"인구(B) (명)","소계","2017",울산,1165132
"인구(B) (명)","소계","2017",세종,280100
"인구(B) (명)","소계","2017",경기,12873895
"인구(B) (명)","소계","2017",강원,1550142
"인구(B) (명)","소계","2017",충북,1594432
"인구(B) (명)","소계","2017",충남,2116770
"인구(B) (명)","소계","2017",전북,1854607
"인구(B) (명)","소계","2017",전남,1896424
"인구(B) (명)","소계","2017",경북,2691706
"인구(B) (명)","소계","2017",경남,3380404
"인구(B) (명)","소계","2017",제주,657083
"인구(B) (명)","소계","2018",계,51826059
"인구(B) (명)","소계","2018",서울,9765623
"인구(B) (명)","소계","2018",부산,3441453
"인구(B) (명)","소계","2018",대구,2461769
"인구(B) (명)","소계","2018",인천,2954642
"인구(B) (명)","소계","2018",광주,1459336
"인구(B) (명)","소계","2018",대전,1489936
"인구(B) (명)","소계","2018",울산,1155623
"인구(B) (명)","소계","2018",세종,314126
"인구(B) (명)","소계","2018",경기,13077153
"인구(B) (명)","소계","2018",강원,1543052
"인구(B) (명)","소계","2018",충북,1599252
"인구(B) (명)","소계","2018",충남,2126282
"인구(B) (명)","소계","2018",전북,1836832
"인구(B) (명)","소계","2018",전남,1882970
"인구(B) (명)","소계","2018",경북,2676831
"인구(B) (명)","소계","2018",경남,3373988
"인구(B) (명)","소계","2018",제주,667191
"인구(B) (명)","소계","2019",계,51849861
"인구(B) (명)","소계","2019",서울,9729107
"인구(B) (명)","소계","2019",부산,3413841
